audiourl,title,artist,catalogue,writer,publishing
,Inkster Boogie,"Egyptians, The",45-140
,The Party Stomp,"Egyptians, The",45-140
,Good Vibrations,New Surfsiders The,45-1401
,Kokomo,New Surfsiders The,45-1401
,Never Learn To Love,New Surfsiders The,45-1402
,Smile Medley,New Surfsiders The,45-1402
,Ali Oop,"Bollywood Argyles, The",45-1403
,Vinda Loo,"Bollywood Argyles, The",45-1403
,Little Saint Nick,New Surfsiders The,45-1404
,Ttil I Die,New Surfsiders The,45-1404
,Dance Dance Dance,New Surfsiders The,45-1405
,Luau,New Surfsiders The,45-1405
,I Don't Want To Know,Mary Weiss,45-141
,Stop And think It Over,Mary Weiss,45-141,,
,If You were mine to lose,Charlie Feathers,45-142,,Sony/ATV Tree Publishing
,We're Getting Closer To Being apart,Charlie Feathers,45-142,,Papa Lou Recordings
,I've Just Seen A Face,Roky Erickson and the Explosives,45-143,,
,Wait For You,Roky Erickson and the Explosives,45-143,,
,I've Got A Woman,Little Johnny and the Silvertones,45-144,,
,Rock Till The End Of Time,Little Johnny and the Silvertones,45-144,,
,Flyin' Saucer Twist,Billy Lee and the Ramblers,45-145,,
,Trav'lin,Tom Carter and the Ramrods,45-145,,
,Twistin' Boogie,Tom Carter and the Ramrods,45-145,,
,Judy,Tom and The Tornadoes,45-146,,Dundee Music
,Long Pony Tail,Tom and The Tornadoes,45-146,,Tommy James Songs INC
,Button Nose ,Benny Joy,45-147,,"Argo Music Inc, Songs Of Universal Inc"
,If I Had You,Benny Joy,45-147,,"Universal Cedarwood Publishing, Universal Songs Of Polygram International Inc"
,Congratulations I'm Sorry,King Kahn,45-148,,
,It's A Lie,King Kahn,45-148,,
,Little Richard Interview,Esquerita,45-149,,
,You Better Believe Me,Esquerita,45-149,,
,Dancing Doll,Art Adams and the Rhythm Knights,45-150,,
,Indian Joe,Art Adams and the Rhythm Knights,45-150,,
,Rock Crazy Baby,Art Adams and the Rhythm Knights,45-150,,
,She Don't Live Here No More,Art Adams and the Rhythm Knights,45-150,,
,Rockin' Satellite,"A-bones, The",45-151,,
,Shallow Grave,"A-bones, The",45-151,,
,Rip It Out!,Jackie & the Cedrics,45-152,,Hoody Music
,SS396,Jackie & the Cedrics,45-152,,BOnnard Publishing Publication
,Tall Dark Stranger,Jackie & the Cedrics,45-152,,Sony/ATV Pub
,I Am An Instrument,Sun Ra,45-153,,
,I Am Strange,Sun Ra,45-153,,
,Bucketful,"Tandoori Knights, The",45-154,,
,Pretty Please,"Tandoori Knights, The",45-154,,
,I Don't Want You,Melvin Davis,45-155,,
,I Won't Come Crawling Back To You,Melvin Davis,45-155,,
,After It's All Over,The Siamese Twins Yvonne and Yvette,45-156,,
,He's Sweet I Know,The Siamese Twins Yvonne and Yvette,45-156,,
,We are Workers For The Lord,The Siamese Twins Yvonne and Yvette,45-156,,
,Your Mother,The Siamese Twins Yvonne and Yvette,45-156,,
,Cadillac,"Renegades, The",45-157,,
